ckey,date,priceTypeID,bind_hours,max_sp,sp_sum
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-08-06,1,4,466.7279968261719,926.5099837779999
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-08-07,1,10,574.9769897460938,2366.2460092306137
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-08-08,1,7,257.0459899902344,620.8439865112305
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-08-09,1,10,130.26100158691406,619.9300060272217
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-08-15,1,7,184.4459991455078,522.3159952163696
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-08-16,1,8,65.97599792480469,201.4579962491989
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-08-17,1,9,29.167999267578125,111.28599953651428
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-08-18,1,6,97.78600311279297,324.15899980068207
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-08-22,1,6,10.303000450134277,46.17200064659119
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-08-23,1,8,17.465999603271484,73.88799905776978
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-09-10,1,3,1.2610000371932983,2.4700000286102295
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-09-12,1,4,4.804999828338623,14.936000108718872
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUWE58,2025-06-30,1,1,3.8580000400543213,3.8580000400543213
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUWE58,2025-07-01,1,2,29.69700050354004,38.754000663757324
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-01,1,10,299.7900085449219,1364.4410128593445
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-02,1,12,133.9290008544922,814.1629986166954
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-03,1,12,163.39500427246094,770.8050181865692
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-04,1,13,311.0669860839844,1443.8939907550812
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-05,1,18,771.56298828125,4250.467039704323
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-06,1,20,945.1929931640625,5602.278063766658
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-07,1,20,833.3419799804688,4545.72995787859
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-08,1,8,328.7619934082031,1740.7840003967285
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-09,1,11,405.7919921875,2022.3720164299011
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-10,1,11,274.3699951171875,1335.5359909534454
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-11,1,8,69.83499908447266,250.90900230407715
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-12,1,8,139.88900756835938,743.7060146331787
