From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Lim MVA,% of MVA Limit (Max),Labels All,,
200,CHATFIELD,3455,CORS1_8,2,Closed,Line,NO,-4.8,240,2,1430_M,2e9b0a74-7a63-4860-81f8-ffa7184fd0a7,370068
200,CHATFIELD,3789,TRINPLAINS_8,1,Open,Line,NO,0,239.5,0,1455_A,864698,9bc3c480-aef7-4c92-bfc5-855c15e20001
201,WINDHMRD,2342,FERRISSW_9,1,Closed,Line,NO,0,194.9,0,2210_B,88c23c14-a532-4a56-99d0-e487c5e497a7,986
201,WINDHMRD,2343,WAX_OCF_9,1,Closed,Line,NO,-4,60,6.7,2210_C,59925,f3c22b19-34ee-430c-acec-d71fcef83ed8
202,SARDIS9,203,SARDIS8,1,Closed,Transformer,YES,-12,40,29.9,SARDISXFMR,279541,562c407f-2f2e-41af-b8ce-8556c29c2da5
202,SARDIS9,210,REAGORSPRG,1,Closed,Line,NO,12,143,8.4,SARDIS_RSP1,4035,aaa220d9-249a-4c43-b1cb-63c8cfae07cd
203,SARDIS8,280,LONGBRANCH,1,Closed,Line,NO,0.8,230,0.4,LBRNCH_SARDIS1,5377,af953a4b-44b9-493d-8709-a0a571c9652f
203,SARDIS8,2309,WAX_NW_8,1,Closed,Line,NO,-33.2,206,16.1,950_B,3260,e9eb57bd-ce2f-40c0-9966-feea8eb9fa1e
203,SARDIS8,2317,STERRETT1_8,1,Closed,Line,NO,14.1,206,6.9,951_A,2454,fc603289-2b8e-4162-8af9-eafcdb034db6
204,BETHEL,205,MALONEY,1,Closed,Line,NO,-3.1,192,1.6,MLNY_BETHL1,135405,e7c71972-a01b-4793-b2ed-be3443f8d666
204,BETHEL,210,REAGORSPRG,1,Closed,Line,NO,-8,192,4.2,RSP_BETHL1,3972,dd147193-d397-473e-8eac-38449d73b570
204,BETHEL,33204,BETHEL2,1,Open,Line,NO,0,9999,0,198689,514478a6-4e1a-4079-83ac-547c6e6073f5,
205,MALONEY,2296,TRWD_9,1,Closed,Line,NO,4,195,2,2445_A,321797,4333d1db-d88a-4f3b-ba92-c0292e6079b9
205,MALONEY,2296,TRWD_9,2,Closed,Line,NO,4.2,195,2.2,2455_A,321807,be5651a8-31a6-46cb-b18c-ad74e13c951b
205,MALONEY,33204,BETHEL2,2,Closed,Line,NO,-11.3,192,5.9,MLNY_BETHL21,323314,849ce85e-79de-4f57-a15b-b0b6f63dd347
208,EUREKA,3477,EUREKA_P__8,1,Closed,Line,NO,-5.5,287,1.9,08300f31-6220-4899-92ee-7d3a820389e9,195697,
209,CLAYHILL,13501,CLAYHIL_P_8,1,Open,Line,NO,0,478,0,98192,c4e8180a-ad16-4248-a4f9-dce028f0aca5,
209,CLAYHILL,13501,CLAYHIL_P_8,A1,Closed,Line,NO,-6.4,478,1.3,98330,fa07ac99-7378-4b88-97d1-fa7207ffe9ed,
210,REAGORSPRG,214,ROCKETTSW,1,Closed,Line,NO,-36.4,115,31.7,RSP_ROCK1,1e9b08b9-d5ca-4910-ad6e-db936dc138ec,4803
211,GOODLOE,3483,GOODLOE_P_8,1,Closed,Line,NO,-23.1,121,19.1,GDL_GOO1,2665,9d68a8b8-2b48-459c-bcc5-31981441cdfb
212,WINKLER,3127,TRINIDAD_8,1,Closed,Line,NO,-182.2,390,46.7,1245_A,2771,615968e0-c454-429e-9601-59db9b9c1144
212,WINKLER,3510,PINOAK_8,1,Closed,Line,NO,172.2,390,44.1,1245_B,129ef264-2f7d-4340-9e89-9334a2e4c311,559830
