teid,RdfId,PsseType,NodeType,CircuitIdentifier,Name,BusNumber1,BusName1,Substation1,BusNumber2,BusName2,Substation2,EquipmentName,OpEqName,branch_id,branch_name,b1,b2,ckt,DeviceType,FromName,ToName,OP_EQCODE,EQNAME,match_status,opeq_status
3540,8e85a883-fbd3-4d69-92a2-4a24cc00628b,Branch,ACLineSegment,1,MILITA_OLMITO1_1 1 1 138kV,8339,MILITARY4A,MILITARY,8950,OLMITO4A,OLMITO,1,MILITA_OLMITO1_1,60006198.0,MILITA_OLMITO11,,,1,Line,MILITARY4A,OLMITO4A,MILITA_OLMITO1_1,1,duplicate_match,same_element
3564,b1939e6d-2944-42b4-b160-b83324a5dc91,Branch,ACLineSegment,1,BARNHR_BIGLAK1_1 1 1 69kV,6530,BARNHRT2A,BARNHRT,6533,BIGLAKE2A,BIGLAKE,1,BARNHR_BIGLAK1_1,60009112.0,BARNHR_BIGLAK11,,,1,Line,BARNHRT2A,BIGLAKE2A,BARNHR_BIGLAK1_1,1,duplicate_match,different
3564,b1939e6d-2944-42b4-b160-b83324a5dc91,Branch,ACLineSegment,1,BARNHR_BIGLAK1_1 1 1 69kV,6530,BARNHRT2A,BARNHRT,6533,BIGLAKE2A,BIGLAKE,1,BARNHR_BIGLAK1_1,60003207.0,BARNHR_BGLK1,,,1,Line,BARNHRT2A,BGLK2A,BARNHR_BGLK1_1,1,duplicate_match,different
3565,b1bb6702-4bef-4e2d-bd9f-e1175f892be9,Branch,ACLineSegment,1,289T244_1 1 1 138kV,7151,L_CICO__8_1Y,CICO,7665,L_MENGCR8_1Y,MENGCR,1,289T244_1,60001056.0,289T2441,,,1,Line,L_CICO__8_1Y,L_MENGCR8_1Y,289T244_1,1,duplicate_match,different
3565,b1bb6702-4bef-4e2d-bd9f-e1175f892be9,Branch,ACLineSegment,1,289T244_1 1 1 138kV,7151,L_CICO__8_1Y,CICO,7665,L_MENGCR8_1Y,MENGCR,1,289T244_1,60079036.0,265T2441,,,1,Line,L_MECRTA8_1Y,L_CICO__8_1Y,265T244_1,1,duplicate_match,different
3569,b25d03ad-f63c-4e72-b547-8fba3d0728d6,Branch,ACLineSegment,1,127T157_1 1 1 69kV,7218,L_MAGNME9_1Y,MAGNME,7220,L_LULIMA9_1Y,LULIMA,1,701T701_1,60000252.0,127T157,,,1,Line,L_MAGNME9_1Y,L_LULIMA9_1Y,127T157_1,1,duplicate_match,different
3569,b25d03ad-f63c-4e72-b547-8fba3d0728d6,Branch,ACLineSegment,1,127T157_1 1 1 69kV,7218,L_MAGNME9_1Y,MAGNME,7220,L_LULIMA9_1Y,LULIMA,1,701T701_1,60012174.0,701T7011,,,1,Line,L_LULIMA9_1Y,L_MAGNME9_1Y,701T701_1,1,duplicate_match,different
3572,d0179ebf-3dcd-4546-a17b-7379ad4bd2f0,Branch,ACLineSegment,1,ADERHO_HEC1_1 1 1 138kV,5754,ADERHOLDSUB8,ADERHOLD,8963,HEC4A,HEC,1,ADERHO_HEC1_1,60002896.0,ADERHO_DUKE1,,,1,Line,ADERHOLDSUB8,HEC4A,ADERHO_DUKE1_1,1,duplicate_match,different
3572,d0179ebf-3dcd-4546-a17b-7379ad4bd2f0,Branch,ACLineSegment,1,ADERHO_HEC1_1 1 1 138kV,5754,ADERHOLDSUB8,ADERHOLD,8963,HEC4A,HEC,1,ADERHO_HEC1_1,60009007.0,ADERHO_HEC11,,,1,Line,HEC4A,ADERHOLDSUB8,ADERHO_HEC1_1,1,duplicate_match,different
3596,f1f4255f-9673-49f7-bb9c-ccce5fc439d5,Branch,ACLineSegment,1,E0_F3_1 1 1 138kV,5225,HONDO,F3,5813,PEARSONSW8,PEARSON,1,E0_F3_1,60009580.0,E0_F31,,,1,Line,HONDO,PEARSONSW8,E0_F3_1,1,duplicate_match,different
