teid,n_hours,n_inservice,dampsse_ids,pct_inservice,dampsse_default_status,branch_id,implied_default_status,pct_closed,from_bus,to_bus,DeviceType,ercotDampsseId,dampsse_name_raw,dampsse_from_station,dampsse_to_station
331009,17520,17158,1,0.9793,Closed,60112158.0,Closed,0.941,BEARKAT_W1,BEARKAT_5,Transformer,6194,NBOHR_T1,NBOHR,NBOHR
331163,17520,17520,1,1.0,Closed,60009202.0,Closed,1.0,ENTERPRISE,BRYN_TAMU_B,Line,10522,TAM_ENT_1,ENTERPR,TAM
331164,17520,17520,1,1.0,Closed,60009201.0,Closed,1.0,ENTERPRISE,DOWLNGRD,Line,10847,DOWL_ENT_1,ENTERPR,DOWLNG
331251,17520,17510,2,0.9994,Closed,60096955.0,,,YUCCADR_8,AROYA_8,Line,381,6519_A,ARYSW,YUCSW
331363,17520,17500,1,0.9989,Closed,60009260.0,Closed,1.0,OYSCRK_POI_8,LEVEE_8_1,Line,4204,LEVOYS15_A,OYS,LEVEE
331416,17520,17502,2,0.999,Closed,60096956.0,,,PBGENBUS_B,AROYA_8,Line,12566,6526__A,ARYSW,PB2SES
331421,17520,17502,2,0.999,Closed,60096957.0,,,AROYA_8,PBGENBUS_B,Line,12567,6527__A,ARYSW,PB2SES
331507,17520,17500,1,0.9989,Closed,60009259.0,Closed,1.0,OYSCRK_POI_8,LEVEE_8,Line,4049,LEVOYS11_A,OYS,LEVEE
331680,17520,17520,1,1.0,Closed,60008939.0,Closed,1.0,SANADTAP_8,XTOBLOCK9_8,Line,9654,6093__L,ANDRT,XTPOI
331681,17520,17520,1,1.0,Closed,60008920.0,Closed,1.0,HOLTSS_8,AMOMIDFM_8,Line,9808,6093__M,MDFAM,HLTSW
331924,17520,17520,1,1.0,Closed,60008929.0,Closed,1.0,TARZANSW_8,S_CURTIS_8,Line,267,6450__B,KWPOD,MRNFD
331927,17520,17383,1,0.9922,Closed,60008959.0,Closed,1.0,TOCO_9,BRKSTON1_9,Line,4867,1950__F,BRKTN,TCOSW
332004,17520,17495,1,0.9986,Closed,60009187.0,Closed,1.0,WLAMESA_8,NLAMESA_8,Line,3942,JPBS_NLMA_1,WSLAMESA,NLAMESA
332396,17520,17520,1,1.0,Closed,60008911.0,Closed,1.0,MOSS_8,YUKONSS_8,Line,3178,14075__A,YKNSW,MOSSW
332408,17520,17515,1,0.9997,Closed,60012965.0,,,YUKONSS_8,ECTRCNTYN_8,Line,3274,14070__B,YKNSW,ECNSW
332475,17520,17392,1,0.9927,Closed,60009235.0,Closed,1.0,CHANEL_X70B8,BRANUM_X70B8,Line,7090,BNMCHL70_A,CHL,BNM
332915,17520,17468,1,0.997,Closed,60012987.0,,,L_KENDCT8_1Y,L_MAENRO8_1Y,Line,5071,22T342_1,KENDCT,MAENRO
332984,17520,17520,1,1.0,Closed,60009147.0,Closed,1.0,L_MAENRO8_1Y,L_BLUMEN8_1Y,Line,1396,119T342_3,BLUMEN,MAENRO
333196,17520,17520,1,1.0,Closed,60009193.0,Closed,1.0,ELKINS_8,BUFFALO,Line,9833,6146__B,BUFFALO,ERPOD
333389,17520,17520,1,1.0,Closed,60009657.0,Closed,1.0,COALSNDR_8,MCLLVAIN_8,Line,1830,6575__B,CDPOI,MCPOI
333407,17520,17520,1,1.0,Closed,60009191.0,Closed,1.0,TNGRISHAM_1,COALSNDR_8,Line,3008,138_GRT_GRM_1,CDPOI,GRISHAM
333408,17520,17520,1,1.0,Closed,60009222.0,Closed,1.0,TNGRISHAMC1,TNGRISHAM_1,Line,1670,138_GRM_CMR_1,GRISHAM,GRSHCMRX
333517,17520,17422,1,0.9944,Closed,60009162.0,Closed,1.0,RCKSPRS2A,P_ROCKSP9_1_,Line,8872,ROCKSP_ROCKSP1_1,ROCKSP,ROCKSPRS
333633,17520,17492,1,0.9984,Closed,60008982.0,Closed,1.0,LUFKNSS_8,NACOGST_8,Line,1590,1350__E,LFKSW,NCSTP
333634,17520,17108,1,0.9765,Closed,60008984.0,Closed,1.0,LUFKNSS_8,CNTLANG_8,Line,1619,1340__E,LFKSW,CNANG
333716,17520,17520,1,1.0,Closed,60009176.0,Closed,1.0,HOLLY4B,AIRLINE4A,Line,5168,AIRLIN_HOLLY41_1,HOLLY4,AIRLINE
334232,17520,17520,1,1.0,Closed,60009129.0,Closed,1.0,COPEN_RC,ENLOE_T8,Line,3664,871__D,ENLOT,COPEN_LC
334305,17520,17520,1,1.0,Closed,60009268.0,Closed,1.0,ENTERPRIS2_8,TENNYSON4A,Line,10621,TENNYS1_ENTPS2_1,ENTRPS2,TENNYSON
334380,17520,17508,1,0.9993,Closed,60009282.0,Closed,1.0,WINDMILL,OGALLALA,Line,7253,OGALA_WINDM2_2,OGALLALA,WINDMILL
334414,17520,17486,1,0.9981,Closed,60009275.0,Closed,1.0,SANTRITA_5,L_SCHNDR5_1Y,Line,2199,HICK_SCHNDR_1,HICKMAN,SCHNDR
335062,17520,17408,1,0.9936,Closed,60009293.0,Closed,1.0,BBREEZE_5,LADKPOI7A,Line,5402,BBREEZE_LINE_1,BBREEZE,CEBOLLA
335097,17520,17344,1,0.99,Closed,60112601.0,Closed,1.0,BBREEZE_W1,BBREEZE_5,Transformer,1157,BBREEZE_T1,BBREEZE,BBREEZE
335098,17520,17344,1,0.99,Closed,60112602.0,Closed,1.0,BBREEZE_W2,BBREEZE_5,Transformer,1007,BBREEZE_T2,BBREEZE,BBREEZE
335284,17520,17520,1,1.0,Closed,60009526.0,Closed,1.0,LEW_JNS_P8,TNJONES_ST2,Line,4222,LWVJS_ZBR_1,LWVJS,LWVJS
335313,17520,17520,1,1.0,Closed,60011533.0,Closed,1.0,BLACKFORK,TYLERNW_8,Line,4951,1865__A,TYLNW,BLKSW
335982,17520,17520,1,1.0,Closed,60008922.0,Closed,1.0,ARENATAP_8,NOANDREW_8,Line,9917,6103__E,ARETP,ANDNR
335985,17520,17271,1,0.9858,Closed,60009033.0,Closed,1.0,ALBANY2A,FTGRIFFI2A,Line,5135,ALBANY_GRIFFI1_1,GRIFFIN,ALBANY
336008,17520,17273,1,0.9859,Closed,60009034.0,Closed,1.0,ALBANY2A,FTGRIFFI2A,Line,5202,ALBANY_GRIFFI2_1,GRIFFIN,ALBANY
336163,17520,17520,1,1.0,Closed,60009035.0,Closed,1.0,MRAN2A,HULLTOWN2A,Line,2285,HULLTO_MRAN1_1,MRAN,HULLTOWN
336177,17520,17520,1,1.0,Closed,60009087.0,Closed,1.0,PUTN2A,HULLTOWN2A,Line,2464,HULLTO_PUTN1_1,HULLTOWN,PUTN
336187,17520,17520,1,1.0,Closed,60009032.0,Closed,1.0,HULLTOWN2A,ALBNY_FD2A,Line,5169,ALBNY__HULLTO1_1,HULLTOWN,ALBNY_FD
336300,17520,17500,1,0.9989,Closed,60008950.0,Closed,1.0,COMCHESS1_5,CORN_TRL_5,Line,8031,35082__A,CTLSW,CMNSW
336301,17520,17520,1,1.0,Closed,60008951.0,Closed,1.0,BROWN_5,CORN_TRL_5,Line,6708,35084__A,CTLSW,BWNSW
337005,17520,17443,1,0.9956,Closed,60009198.0,Closed,1.0,FLAT_TOP_H,CORN_TRL_5,Line,539,FTWIND_TL_1,CTLSW,FTWIND
337206,17520,17520,1,1.0,Closed,60009167.0,Closed,1.0,MESQUITE4A,WESMER4A,Line,5565,MESQUI_WESMER1_1,MESQUITE,WESMER
337236,17520,17503,1,0.999,Closed,60009267.0,Closed,1.0,GASPADTA4A,BASIN4A,Line,5495,BASIN_GASPAD1_1,BASIN,GASPAD
337245,17520,17503,1,0.999,Closed,60009266.0,Closed,1.0,BASIN4A,LOTEBUSH4A,Line,6831,BASIN_LOTEBU1_1,LOTEBUSH,BASIN
337526,17520,17428,1,0.9947,Closed,60009516.0,Closed,1.0,ROANOKE2_8,ELIZCRK1_8,Line,213,6273__D,ELZCK,RNKSW
337527,17520,11459,1,0.6541,Closed,60008965.0,Closed,0.6,ROANOKE1_8,ELIZCRK1_8,Line,125,6274__C,ELZCK,RNKSW
337702,13151,13140,1,0.9992,Closed,60094879.0,Closed,1.0,YANTISRCH_P8,WINKSS_8,Line,12323,5140__C,YRPOD,WINKS
337711,17520,17520,1,1.0,Closed,60008919.0,Closed,1.0,ELMAR_8,ORBISONT_8,Line,9793,6142__D,RUPOD,ELMAR
337829,17520,17520,1,1.0,Closed,60009154.0,Closed,1.0,UNITEC4A,NLARSW4A,Line,7180,NLARSW_UNITEC1_1,UNITEC,NLARSW
337838,17520,17520,1,1.0,Closed,60009153.0,Closed,1.0,UNITEC4A,GTWYWTP4A,Line,598,GATEWT_UNITEC1_1,UNITEC,GATEWTP
337851,17520,17215,1,0.9826,Closed,60009264.0,Closed,1.0,GEBHRT_X65B8,WALLIS_S65_8,Line,632,GEBWA_65_A,WA,GEB
337852,17520,17520,1,1.0,Closed,60009263.0,Closed,1.0,SEALY__S65_8,GEBHRT_X65B8,Line,701,GEBSE_65_A,GEB,SE
338078,17520,17498,1,0.9987,Closed,60008960.0,Closed,1.0,DELTA1_8,COMM_T8,Line,3635,871__B,DELTA,COMRC
338079,17520,17516,1,0.9998,Closed,60008961.0,Closed,1.0,DELTA1_8,ENLOE_T8,Line,3775,871__C,DELTA,ENLOT
338341,17520,17520,1,1.0,Closed,60009120.0,Closed,1.0,FTST4A,RIGGINS_8,Line,7510,RIGGINS_TLINE_1,FTST,RIGGINS
338445,17520,17520,1,1.0,Closed,60112149.0,Closed,1.0,RIGGINS_S1,RIGGINS_8,Transformer,6296,RIGGINS_MPT,RIGGINS,RIGGINS
338462,17520,17520,1,1.0,Closed,60009910.0,Closed,1.0,L_CASTIL8_1Y,CASL_GAP_8,Line,189,634T634_1,CASL_GAP,CASTIL
338552,17520,17483,1,0.9979,Closed,60112153.0,Closed,1.0,CASLGP_UNIT1,CASL_GAP_8,Transformer,1219,CASL_GAP_T1,CASL_GAP,CASL_GAP
338734,17520,16647,1,0.9502,Closed,60008895.0,Closed,0.9,GIBN_CREK_5,LIMEST_POI_5,Line,723,GIB_LIME18_1,LEG,GIBCRK
338892,17520,17503,1,0.999,Closed,60009194.0,Closed,1.0,PELCNSPG_8,BASIN4A,Line,185,6332__B,PLPOD,BASIN
