teid,branch_id,ercotDampsseId,from_bus,to_bus,ckt,default_status,default_status_source,in_service_date,retirement_date,DeviceType,match_status,in_service_date_source,retirement_date_source,dates_review_flag,status_review_flag,dampsse_default_status,dampsse_pct_inservice,implied_default_status,pct_closed
666524,60112484.0,11552.0,FIVEWSLR_5,FIVEWSLR_B1,T3,Closed,dampsse_inservice,2024-02-26 13:02:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9941,Closed,1.0
280004,60111450.0,6246.0,P_H_R___B345,P_H_R__A4STR,A4,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_fuzzy_match,default,default,ok,clear_majority,Closed,0.9754,Closed,0.933
279145,60006483.0,6206.0,ODESEHV_8,ODEHV1_1,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9454,Closed,1.0
279827,60111831.0,6322.0,PSG_PSG_GT2,PSG_1_8,G1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9976,Closed,1.0
280271,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
280272,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
39798,60111166.0,9272.0,VEALMOOR,VEALMOOR2_8,2,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_latest_id,default,default,ok,clear_majority,Closed,0.9947,Closed,1.0
126596,60110786.0,4353.0,HACKBRY1_8,HKBRY3_1,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9884,Closed,1.0
280434,60111519.0,989.0,BELAIR__B345,BELAIR_A1STR,A1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9981,Closed,1.0
280273,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
666946,60111311.0,11634.0,TESORO_8,NORS1,1,Closed,dampsse_inservice,2023-12-29 18:00:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9895,Closed,1.0
429035,60111170.0,9474.0,WOLFSS_5,WLFSW_1A,1,Closed,dampsse_inservice,2020-07-05 11:56:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9995,Closed,1.0
279319,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
279298,60110804.0,2839.0,FSHCRK1_8,FSHCRK1_9,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9745,Closed,0.941
279464,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
280274,60112403.0,2982.0,FRNYPP_ST10,FRNYPP_1_5,7,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9785,Closed,1.0
652490,60111959.0,11387.0,HOL_S1,HOL_5,T1,Closed,dampsse_inservice,2023-12-05 17:42:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9873,Closed,1.0
863968,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
153990,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
88078,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
622374,60112013.0,1208.0,BTM_N8,BTM_8,T8,Closed,dampsse_inservice,2023-07-10 13:42:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,1.0,Closed,1.0
279765,60046013.0,4576.0,LOSTPINE5,LOS_LOSTPST1,3,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,no_pto_data,Closed,1.0,,
