teid,RdfId,PsseType,NodeType,CircuitIdentifier,Name,BusNumber1,BusName1,Substation1,BusNumber2,BusName2,Substation2,EquipmentName,OpEqName,branch_id,branch_name,b1,b2,ckt,DeviceType,FromName,ToName,OP_EQCODE,EQNAME,match_status,unmatched_reason
851624,009e5174-2c83-4685-a552-8487850a09ff,Branch,SeriesCompensator,1,1,171071,FERD_ESS_B1,FERD_ESS,171072,FERD_ESS_SD,FERD_ESS,1,FERD_ESS_CLR_1,,,,,,,,,,,unmatched,generation_plant_internal
298306,03b2ecee-768d-4d9a-adb2-d56408b2ec22,Branch,SeriesCompensator,SG,1,110117,DOW_DOW_ST64,DOWGEN,110121,DOWGEN_3,DOWGEN,1,DOW_RE-O640_1,,,,,,,,,,,unmatched,generation_plant_internal
664711,074c578e-ec6e-4e52-a733-3cd1e119a1a0,Branch,SeriesCompensator,1,1,170881,LBRA_ESS_B1,LBRA_ESS,170883,LBRA_ESS_L1,LBRA_ESS,1,LBRA_CLR1_1,,,,,,,,,,,unmatched,generation_plant_internal
298458,1829797b-dd5e-4e9f-9b62-244bc68f5851,Branch,SeriesCompensator,SG,1,110115,DOWG_DOW_G62,DOWGEN,110118,DOW_61_2_64,DOWGEN,1,DOW_RE-T620_1,,,,,,,,,,,unmatched,generation_plant_internal
298402,1da37771-e029-40a3-96b9-3336ce551b53,Branch,SeriesCompensator,SG,1,110116,DOWG_DOW_G63,DOWGEN,110118,DOW_61_2_64,DOWGEN,1,DOW_RE-T630_1,,,,,,,,,,,unmatched,generation_plant_internal
281629,26df32e1-f0e5-491d-8f52-eab5c7346283,Branch,SeriesCompensator,SG,1,110946,SL_2,SL,110948,SL_4,SL,1,SL_CBL_3502J13_1,,,,,,,,,,,unmatched,generation_plant_internal
847498,32edea73-07d9-4fad-ad77-8c0b5cfa4995,Branch,SeriesCompensator,S1,1,153481,RRC_WIND_W1,RRC_WIND,153483,RRC_WIND_B2,RRC_WIND,1,RRC_WIND_CLR1_1,,,,,,,,,,,unmatched,generation_plant_internal
676201,41d3670e-6db8-486f-9f46-ec4b2cfcdcf4,Branch,SeriesCompensator,1,1,144561,BAKE_SLR_S1,BAKE_SLR,144567,BAKE_SLR_L1,BAKE_SLR,1,BAKER_CLR1_1,,,,,,,,,,,unmatched,generation_plant_internal
341321,47d7fe7c-deb3-40fc-accf-a951865a4296,Branch,SeriesCompensator,SG,1,110943,SL_SL_G3,SL,110954,SL_10,SL,1,SL_CBL_1293_1,,,,,,,,,,,unmatched,generation_plant_internal
281723,4a8cf51b-51cf-4bdf-a8c6-2761c6c8f3c4,Branch,SeriesCompensator,SG,1,110945,SL_1,SL,110947,SL_3,SL,1,SL_CBL_3502J4_1,,,,,,,,,,,unmatched,generation_plant_internal
560260,4e86c3e1-78a7-43da-82ed-4d0f4bfa5454,Branch,SeriesCompensator,1,1,152131,ROSELAND_S1,ROSELAND,152137,ROSELAND_TL1,ROSELAND,1,CLR1_1,,,,,,,,,,,unmatched,generation_plant_internal
512751,537a6cc6-615c-4db5-94b4-8eb70884caf4,Branch,SeriesCompensator,GL,1,49210,GENTHW1_01_1,THW,110041,THW_THWGT_1,THW,1,THWGEN01_1,,,,,,,,,,,unmatched,generation_plant_internal
539290,55c8324f-933a-48d7-baa1-7bcc4e0abb0b,Branch,SeriesCompensator,1,1,152081,NOBLESLR_R1,NOBLESLR,152085,NOBLE_T1L,NOBLESLR,1,R1_1,,,,,,,,,,,unmatched,generation_plant_internal
298358,628d09cc-a847-418e-8523-19b7132ceed1,Branch,SeriesCompensator,SG,1,110118,DOW_61_2_64,DOWGEN,110119,DOWGEN_2,DOWGEN,1,DOW_RE-O680_1,,,,,,,,,,,unmatched,generation_plant_internal
298527,6448e136-d4fa-4b11-bad3-2e40afe99946,Branch,SeriesCompensator,SG,1,110121,DOWGEN_3,DOWGEN,110122,DOW_647X,DOWGEN,1,DOW_2643_1,,,,,,,,,,,unmatched,generation_plant_internal
700274,65836eda-339b-4ef2-bbcd-4e80b733d02f,Branch,SeriesCompensator,2,1,136342,TRBT_SLR_S2,TRBT_SLR,136345,TRBT_SLR_L1,TRBT_SLR,1,TRBT_SLR_CLRT2_1,,,,,,,,,,,unmatched,generation_plant_internal
839627,67a96530-d3c0-4c63-a484-9bb7e725b5ab,Branch,SeriesCompensator,1,1,142511,BLSMT_2_25,BLSUMMIT,144951,BLSUMMI1_B1,BLSUMMIT,1,BLSUMMIT_CLR2_1,,,,,,,,,,,unmatched,generation_plant_internal
871319,6b1ce615-5a65-446e-8a0b-a17f52a97e07,Branch,SeriesCompensator,1,1,137141,GRND_SLR_S1,GRND_SLR,137142,GRND_SLR_SD,GRND_SLR,1,GRND_SLR_CLR-1_1,,,,,,,,,,,unmatched,generation_plant_internal
823800,6e2a7f51-c375-4eb0-9c6d-aef2f8c239d7,Branch,SeriesCompensator,KB,1,113801,BYP_B1,BYP,113802,BYP_SD,BYP,1,KBR1_1,,,,,,,,,,,unmatched,generation_plant_internal
298589,742672e8-f432-409a-82b4-2eff49285f69,Branch,SeriesCompensator,SG,1,110117,DOW_DOW_ST64,DOWGEN,110118,DOW_61_2_64,DOWGEN,1,DOW_RE-T640_1,,,,,,,,,,,unmatched,generation_plant_internal
871578,748ed9ab-b384-4f87-8f01-11fcadc621c3,Branch,SeriesCompensator,1,1,155891,AQLA_WND_W1,AQLA_WND,155893,AQLA_WND_SC,AQLA_WND,1,AQLA_WND_CLR1_1,,,,,,,,,,,unmatched,generation_plant_internal
700287,8c708bc4-416c-4dde-8323-654cb24b15fc,Branch,SeriesCompensator,1,1,136341,TRBT_SLR_S1,TRBT_SLR,136346,TRBT_SLR_L2,TRBT_SLR,1,TRBT_SLR_CLRT1_1,,,,,,,,,,,unmatched,generation_plant_internal
298588,a3c72c00-6b3e-477f-877f-61431028359e,Branch,SeriesCompensator,SG,1,110114,DOWG_DOW_G61,DOWGEN,110118,DOW_61_2_64,DOWGEN,1,DOW_RE-T610_1,,,,,,,,,,,unmatched,generation_plant_internal
647607,ad4afb60-0bc1-4af2-a427-0f40ca8ba099,Branch,SeriesCompensator,1,1,111532,MYR_S2,MYR,113311,MYR_B1,MYR,1,BR1_1,,,,,,,,,,,unmatched,generation_plant_internal
298590,b1d71b12-11d5-4f1a-906c-0fc7026e5ddb,Branch,SeriesCompensator,SG,1,110126,DOW_G66_ST65,DOWGEN,110199,DOW_T670,DOWGEN,1,DOW_RE-T670_1,,,,,,,,,,,unmatched,generation_plant_internal
34553,b2964079-3baf-4a55-a7b5-3f05964a18a9,Branch,SeriesCompensator,SG,1,110111,DOWG_DOW_G37,DOWGEN,110112,DOWGEN_1,DOWGEN,1,DOW37_1,,,,,,,,,,,unmatched,generation_plant_internal
72989,b4978605-c927-47a0-a6db-747098743df3,Branch,SeriesCompensator,1,1,111101,RNPCOGEN_1,MIN,111102,RNPCOGEN_4,MIN,1,COGEN_L1_1,,,,,,,,,,,unmatched,generation_plant_internal
341335,b83503f1-a373-456d-af70-01d5ca2cd1b6,Branch,SeriesCompensator,SG,1,110949,SL_5,SL,110953,SL_9,SL,1,SL_RX1302_1,,,,,,,,,,,unmatched,generation_plant_internal
326456,c0b0f27f-0f7b-4030-9b54-92db31051ee2,Branch,SeriesCompensator,1,1,111201,NA_GT1,,111207,NA_4,,1,LINE_M1_1,,,,,,,,,,,unmatched,branch_other
661650,c92766aa-5efe-4d23-919e-1fec4276719f,Branch,SeriesCompensator,1,1,136281,SHAMROCK_W,SHAMROCK,136284,SHAMROCK_4,SHAMROCK,1,SR_CLR1_1,,,,,,,,,,,unmatched,generation_plant_internal
326457,d8b858d4-3202-4773-ae91-772e0fd343e0,Branch,SeriesCompensator,2,1,111202,NA_GT2,,111206,NA_3,,1,LINE_M2_1,,,,,,,,,,,unmatched,branch_other
