teid,EquipmentName,equip_name_norm,cim_opeqname_norm,cim_branchname_norm,plannedStartDate,actualStartDate,actualEndDate
463152,T2,T2,EUNICET2,EUNICET2,2020-10-14 00:00:00,2020-10-14 00:00:00,2020-11-10 11:00:00
463151,T1,T1,EUNICET1,EUNICET1,2020-10-14 00:00:00,2020-10-14 00:00:00,2020-11-10 11:00:00
460834,T1,T1,RIPPEYT1,RIPPEYT1,2020-10-19 10:01:00,2020-10-19 10:01:00,2020-11-09 10:00:00
465298,MR1H,MR1H,CMBSWMR1H,CMBSWAXFMR1HH,2020-11-04 00:00:00,2020-11-04 00:00:00,2020-11-07 18:00:00
465299,MR1L,MR1L,CMBSWMR1L,CMBSWAXFMR1L,2020-11-04 00:00:00,2020-11-04 00:00:00,2020-11-07 18:00:00
465278,ET2,ET2,MAVCRKEET2,MAVCRKEET2,2020-11-04 16:01:00,2020-11-04 16:01:00,2020-11-06 13:00:00
462216,T2,T2,PHILLWNDT2,PHILLWNDT2,2020-10-07 00:00:00,2020-10-07 00:00:00,2020-10-29 10:30:00
462215,T1,T1,PHILLWNDT1,PHILLWNDT1,2020-10-07 00:00:00,2020-10-07 00:00:00,2020-10-29 09:38:00
419025,TR33,TR33,FORMOSATR33,FORMOSATR33,2019-11-06 00:00:00,2019-11-06 00:00:00,2020-11-05 00:00:00
465278,ET2,ET2,MAVCRKEET2,MAVCRKEET2,2020-09-17 16:01:00,2020-09-17 16:01:00,2020-11-04 16:00:00
439569,LGDRAW_S_LGDRAW_S_T1,LGDRAWSLGDRAWST1,LGDRAWST1,LGDRAWST1,2020-05-06 00:00:00,2020-05-06 00:00:00,2020-10-30 18:01:00
432599,432T4411,432T4411,723T7641,723T764,2020-04-21 10:43:00,2020-04-21 10:43:00,2020-10-31 00:00:00
432598,1421T4411,1421T4411,421T4411,421T4411,2020-04-21 10:43:00,2020-04-21 10:43:00,2020-10-31 00:00:00
470628,1551T5511,1551T5511,551T5511,551T5511,2020-10-21 11:14:00,2020-10-21 11:14:00,2020-10-30 08:02:00
461314,T1,T1,KELAMSLT1,KELAMSLT1,2020-10-07 00:00:00,2020-10-07 00:00:00,2020-10-28 12:01:00
460834,T1,T1,RIPPEYT1,RIPPEYT1,2020-10-07 00:01:00,2020-10-07 00:01:00,2020-10-19 10:00:00
431277,T2,T2,AMADEUS2T2,AMADEUS2T2,2020-09-15 17:01:00,2020-09-15 17:01:00,
453417,1172T2711,1172T2711,172T2711,172T2711,2020-08-05 00:00:00,2020-08-05 00:00:00,2020-10-14 14:00:00
461164,T1,T1,WILDWINDT1,WILDWINDT1,2020-10-14 00:00:00,2020-10-14 00:00:00,
449613,ET1,ET1,MAVCRKEET1,MAVCRKEET1,2020-09-17 16:01:00,2020-09-17 16:01:00,2020-10-12 10:00:00
459973,T2,T2,SOLSTICET2,SOLSTICET2,2020-10-07 00:00:00,2020-10-07 00:00:00,2020-10-09 00:00:00
452407,T2,T2,GREASWODT2,GREASWODT2,2020-08-05 00:00:00,2020-08-05 00:00:00,2020-10-05 15:30:00
452406,T1,T1,GREASWODT1,GREASWODT1,2020-08-05 00:00:00,2020-08-05 00:00:00,2020-10-05 15:30:00
456189,T1,T1,RELOJT1,RELOJT1,2020-10-01 19:01:00,2020-10-01 19:01:00,
456189,T1,T1,RELOJT1,RELOJT1,2020-09-02 00:00:00,2020-09-02 00:00:00,2020-10-01 19:00:00
453514,NEVILLTP_GRSWD1,NEVILLTPGRSWD1,GIRVINGRSWD1,GIRVINGRSWD,2020-08-05 00:01:00,2020-08-05 00:01:00,2020-09-23 11:24:00
426680,NEVILL_NEVILTP1,NEVILLNEVILTP1,GIRVINNEVIL1,GIRVINNEVIL,2020-06-03 00:01:00,2020-06-03 00:01:00,2020-09-23 11:24:00
449613,ET1,ET1,MAVCRKEET1,MAVCRKEET1,2020-07-08 00:00:00,2020-07-08 00:00:00,2020-09-17 16:00:00
465278,ET2,ET2,MAVCRKEET2,MAVCRKEET2,2020-09-02 00:00:00,2020-09-02 00:00:00,2020-09-17 16:00:00
428108,T2,T2,ELRAYOT2,ELRAYOT2,2020-02-05 00:00:00,2020-02-05 00:00:00,2020-09-17 16:44:00
428107,T1,T1,ELRAYOT1,ELRAYOT1,2020-02-05 00:00:00,2020-02-05 00:00:00,2020-09-17 16:43:00
446034,WT2,WT2,MAVCRKWWT2,MAVCRKWWT2,2020-09-01 16:01:00,2020-09-01 16:01:00,2020-09-16 17:00:00
446034,WT2,WT2,MAVCRKWWT2,MAVCRKWWT2,2020-07-30 10:01:00,2020-07-30 10:01:00,2020-09-01 16:00:00
431277,T2,T2,AMADEUS2T2,AMADEUS2T2,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-09-15 17:00:00
431278,T1,T1,AMADEUS1T1,AMADEUS1T1,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-09-15 17:00:00
439624,LMAJADAS_LMAJADAS_T2,LMAJADASLMAJADAST2,LMAJADAST2,LMAJADAST2,2020-06-19 16:01:00,2020-06-19 16:01:00,2020-09-02 09:55:00
439623,LMAJADAS_LMAJADAS_T1,LMAJADASLMAJADAST1,LMAJADAST1,LMAJADAST1,2020-06-19 16:01:00,2020-06-19 16:01:00,2020-09-02 09:55:00
468071,TR3H,TR3H,FORMOSATR3H,FORMOSATR3H,2020-09-02 00:00:00,2020-09-02 00:00:00,2020-09-02 01:01:00
451164,T1,T1,MARYNEALT1,MARYNEALT1,2020-08-31 00:01:00,2020-08-31 00:01:00,
431581,T1,T1,TAYGETET1,TAYGETET1,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-08-12 12:00:00
431589,T2,T2,TAYGETET2,TAYGETET2,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-08-12 12:00:00
446033,WT1,WT1,MAVCRKWWT1,MAVCRKWWT1,2020-08-11 16:01:00,2020-08-11 16:01:00,2020-08-18 16:00:00
435650,T2,T2,COYOTEWT2,COYOTEWT2,2020-04-24 16:01:00,2020-04-24 16:01:00,2020-08-24 09:00:00
