teid,branch_id,base_model_status,implied_default_status,pct_closed,base_from_name,base_to_name,base_circuit,base_device_type,from_bus,to_bus,ckt,DeviceType,match_type
279322,60003979.0,Open,Closed,1.0,TNCLIMAX__0,TNCLIMAX__1,1,Transformer,TNCLIMAX__1,TNCLIMAX__0,1,Transformer,direct_label
279397,60110975.0,Open,Closed,1.0,ABNTHWST2A,ABNTHWST4B,1,Transformer,ABNTHWST2A,ABNTHWST4B,1,Transformer,direct_label
279517,60005789.0,Open,Closed,0.933,LIMEST__B138,49168_STAR,A1,Transformer,LIMEST__B138,49168_STAR,A1,Transformer,direct_label
279595,60112772.0,Open,Closed,0.941,HHOLLOW2_1_8,HHOLLO_WIND1,1,Transformer,HHOLLO_WIND1,HHOLLOW2_1_8,1,Transformer,direct_label
2800,60001770.0,Open,Closed,1.0,L_RIVERY8_1Y,L_GEORGE8_1Y,1,Line,L_GEORGE8_1Y,L_RIVERY8_1Y,1,Line,direct_label
280349,60112771.0,Closed,Open,0.294,H_HOLLOW_1_8,H_HOLLO_WND1,1,Transformer,H_HOLLO_WND1,H_HOLLOW_1_8,1,Transformer,direct_label
2805,60002540.0,Open,Closed,1.0,ARPCHIPR_9,TROUP_9,1,Line,TROUP_9,ARPCHIPR_9,1,Line,direct_label
2923,60004941.0,Closed,Open,0.1,TNOLDOCEAN0,TNHILCORP_0,2,Line,TNHILCORP_0,TNOLDOCEAN0,2,Line,direct_label
298141,60112588.0,Open,Closed,1.0,BORDAS_5,BRDS_JAVEL18,T1,Transformer,BRDS_JAVEL18,BORDAS_5,T1,Transformer,direct_label
300554,60003644.0,Open,Closed,1.0,BRKSDLE2A,CAMPWOOD2A,1,Line,BRKSDLE2A,CAMPWOOD2A,1,Line,direct_label
30229,60007218.0,Open,Closed,1.0,SILR2A,SILV2A,1,Line,SILV2A,SILR2A,1,Line,direct_label
302430,60001931.0,Open,Closed,1.0,ORLA_SW1_8,RED_BLUFF1_8,1,Line,ORLA_SW1_8,RED_BLUFF1_8,1,Line,direct_label
307362,60000250.0,Open,Closed,1.0,COPPCVE_8,KILCLARRDT_8,1,Line,KILCLARRDT_8,COPPCVE_8,1,Line,direct_label
309005,60008776.0,Open,Closed,1.0,BORDAS_5,CENIZO7A,1,Line,CENIZO7A,BORDAS_5,1,Line,direct_label
3129,60003490.0,Open,Closed,1.0,BROOKHOL2A,P_LAVACA2A,1,Line,BROOKHOL2A,P_LAVACA2A,1,Line,direct_label
314621,60005459.0,Open,Closed,1.0,PANDALE2A,ILLN2A,1,Line,PANDALE2A,ILLN2A,1,Line,direct_label
3150,60001022.0,Open,Closed,0.571,P_BUDA__9_1_,P_CENTEX9_1_,1,Line,P_BUDA__9_1_,P_CENTEX9_1_,1,Line,direct_label
3157,60013294.0,Open,Closed,1.0,ABPLTTP2A,ABPOWERS2A,1,Line,ABPOWERS2A,ABPLTTP2A,1,Line,direct_label
321429,60112589.0,Open,Closed,1.0,BORDAS2_5,BRDS_JAVEL2B,02,Transformer,BRDS_JAVEL2B,BORDAS2_5,02,Transformer,direct_label
321439,60008786.0,Open,Closed,1.0,BORDAS_5,BORDAS2_5,1,Line,BORDAS2_5,BORDAS_5,1,Line,direct_label
3220,60007603.0,Open,Closed,0.857,TNTRENTON_0,TNLEONARD_0,1,Line,TNTRENTON_0,TNLEONARD_0,1,Line,direct_label
3242,60002557.0,Open,Closed,1.0,DIALVILL_9,RUSK_9,2,Line,DIALVILL_9,RUSK_9,2,Line,direct_label
3245,60006197.0,Open,Closed,1.0,MILHWY,MILITARY4A,3,Line,MILITARY4A,MILHWY,3,Line,direct_label
325253,60111700.0,Closed,Open,0.118,LARDSTAT4A,LARDSTAT0A,1,Transformer,LARDSTAT4A,LARDSTAT0A,1,Transformer,direct_label
326174,60047395.0,Open,Closed,1.0,TNPUCKTFLD0,TNOCOTILO_0,1,Line,TNPUCKTFLD0,TNOCOTILO_0,1,Line,direct_label
3333,60002541.0,Open,Closed,1.0,ARPCHIPR_9,ARP_9,1,Line,ARPCHIPR_9,ARP_9,1,Line,direct_label
3415,60007405.0,Open,Closed,1.0,TEMP_SS__8,TEMP_SS_R_8,3,Line,STEWRT__B138,WESTBY_R59_8,59,Line,direct_label
348,60002203.0,Open,Closed,1.0,NYLONTAP_8,NYLON_8,1,Line,NYLONTAP_8,NYLON_8,1,Line,direct_label
357826,60009646.0,Open,Closed,1.0,BLDSW_RC,WMUNS_RC,13,Line,BLDSW_RC,WMUNS_RC,13,Line,direct_label
373260,60009507.0,Closed,Open,0.1,GAINVL_E_T9,STONCRK_9,2,Line,GAINVL_E_T9,STONCRK_9,2,Line,direct_label
373934,60009955.0,Open,Closed,1.0,WHTSTLMNT_9,WHTSTLMNT1_8,1,Transformer,WHTSTLMNT_9,WHTSTLMNT1_8,1,Transformer,direct_label
380353,60009620.0,Open,Closed,1.0,POWELLFI2A,BISON2A,1,Line,BISON2A,POWELLFI2A,1,Line,direct_label
384314,60009769.0,Closed,Open,0.3,ENTLKI_9,ENLKTP_9,1,Line,ENLKTP_9,ENTLKI_9,1,Line,direct_label
392091,60009615.0,Closed,Open,0.3,CRMWD12A,ENLKTP_9,1,Line,CRMWD12A,ENLKTP_9,1,Line,direct_label
3987,60009052.0,Open,Closed,1.0,WALNTTAP2A,ABWALNUT2A,1,Line,ABWALNUT2A,WALNTTAP2A,1,Line,direct_label
398823,60009559.0,Open,Closed,0.889,KILN_FHD_E_8,KILN_FTHD_8,1,Line,KILN_FTHD_8,KILN_FHD_E_8,1,Line,direct_label
4057,60005308.0,Closed,Open,0.35,TNHICOTAP_0,TNHAMLTNCO0,1,Line,TNHAMLTNCO0,TNHICOTAP_0,1,Line,direct_label
419224,60010125.0,Open,Closed,1.0,REDBUD,PROLINA_P8,1,Line,REDBUD,PROLINA_P8,1,Line,direct_label
