teid,ReasonID,BranchId,EquipmentName,equip_name_norm,cim_opeqname_norm,cim_branchname_norm,plannedStartDate,actualStartDate,actualEndDate
399343,4,,IHS1 STATCOMM TRF,IHS1STATCOMMTRF,IH20IHS1,IH20IHS1HISIDE,2019-08-06 11:44:00,2019-08-06 11:44:00,2019-08-23 16:04:00
399343,4,,IHS1 STATCOMM TRF,IHS1STATCOMMTRF,IH20IHS1,IH20IHS1HISIDE,2019-06-26 00:00:00,2019-06-26 00:00:00,2019-08-05 19:00:00
399344,4,,IHS2 STATCOMM TRF,IHS2STATCOMMTRF,IH20IHS2,IH20IHS2HISIDE,2019-06-26 00:00:00,2019-06-26 00:00:00,2019-08-05 19:00:00
408413,4,,6511_F,6511F,6590A,6590A,2019-06-12 00:00:00,2019-06-12 00:00:00,2019-06-12 00:01:00
353596,4,,QN-WS_RCWS,QNWSRCWS,MGQNRCQN,MGQNRC,2018-06-01 00:01:00,2018-06-01 00:01:00,2019-05-31 17:00:00
379937,4,,AT1T,AT1T,ALTAIRAT2T,ALTAIRAT2TH,2019-03-06 00:00:00,2019-03-06 00:00:00,2019-05-30 12:00:00
347844,4,,SU_XF_VEALMOOR34507TR1_ST,SUXFVEALMOOR34507TR1ST,VEALMOOR7TR1,VEALMOORVLMTR1H,2019-05-06 17:00:00,2019-05-06 17:00:00,2019-05-15 12:00:00
380481,4,,THRP_FRDTAP1,THRPFRDTAP1,THRPFRD1,THRPFRD1,2019-03-27 00:00:00,2019-03-27 00:00:00,2019-05-09 09:01:00
345422,4,,389T3891,389T3891,398T3891,398T3891,2018-06-01 00:00:00,2018-06-01 00:00:00,2018-06-05 12:29:00
94590,4,,907T214631,907T214631,TUNACRSIRIUS1,TUNACRSIRIUS1,2016-05-11 16:01:00,2016-05-11 16:01:00,2016-05-20 13:31:00
329182,4,,MR2H,MR2H,TCOSWAX1H,TCOSWAXFMR1HH,2017-05-31 16:40:00,2017-05-31 16:40:00,2017-06-20 18:00:00
329307,4,,MR2L,MR2L,TCOSWAX1L,TCOSWAXFMR1LH,2017-05-31 16:40:00,2017-05-31 16:40:00,2017-06-20 18:00:00
364643,4,,202T2641,202T2641,202T7541,202T7541,2018-10-10 00:00:00,2018-10-10 00:00:00,2018-11-02 12:26:00
320953,4,,PS1,PS1,NSHARPEPS3,NSHARPE138PS3B,2016-12-01 00:00:00,2016-12-01 00:00:00,2017-09-28 11:30:00
317479,9,,PS0,PS0,6520G,6520G,2017-02-28 08:18:00,2017-02-28 08:18:00,2017-03-28 23:59:00
155529,4,,PS2,PS2,780E,780E,2015-10-14 00:00:00,2015-10-14 00:00:00,2016-01-06 17:31:00
358310,4,,G138_8B2,G1388B2,G1388B1,G1388B1,2018-06-01 00:00:00,2018-06-01 00:00:00,2018-12-17 11:53:00
319007,4,,Power Transformer AT6H,POWERTRANSFORMERAT6H,DOWAT6H,DOWAT6HH,2016-11-09 00:00:00,,
319008,4,,Power Transformer AT6,POWERTRANSFORMERAT6,DOWAT6,DOWAT6H,2016-11-09 00:00:00,,
323259,4,,MTP-2,MTP2,SANTACRUMPT2,SANTACRUMPT2,2017-04-05 00:00:00,2017-04-05 00:00:00,2017-06-30 18:10:00
58390,4,,A1,A1,LOBOA3,LOBO3345138H,2016-03-01 00:00:00,2016-03-01 00:00:00,2017-02-28 16:56:00
113629,9,,1804,1804,MDOAT2,MDOAT2H,2016-11-20 16:01:00,2016-11-20 16:01:00,2016-12-30 17:00:00
113629,9,,1804,1804,MDOAT2,MDOAT2H,2016-12-30 17:01:00,2016-12-30 17:01:00,2017-01-10 23:59:00
97782,4,,J101,J101,633T6331,633T6331,2015-04-22 00:00:00,2015-04-22 00:00:00,2015-04-24 17:00:00
238285,4,,ELECTRAW_TLINE1,ELECTRAWTLINE1,DIGBYTLINE1,DIGBYTLINE1,2016-10-03 17:01:00,2016-10-03 17:01:00,2016-10-04 14:15:00
183643,4,,JS04,JS04,24T1381,24T1381,2016-01-19 17:00:00,2016-01-19 17:00:00,2016-02-10 07:20:00
16629,4,,REAC_R3,REACR3,ESMERAFRIEND11,ESMERAFRIEND11,2015-10-16 17:01:00,2015-10-16 17:01:00,2015-11-20 17:00:00
317479,9,,PS0,PS0,6520G,6520G,2017-02-02 08:00:00,2017-02-02 07:30:00,2017-02-24 17:00:00
