teid,branch_id,branch_name,op_eqcode,device_type,from_name,to_name,ckt,other_branch_ids_sharing_teid,other_branch_names_sharing_teid
1109,60009123,CHERRT_CHERRY11,CHERRT_CHERRY1_1,Line,CHERRTAP2A,CHERRYCR2A,1,60003728,CCRK_CCRT1
1111,60002837,ABEA_ABWA1,ABEA_ABWA1_1,Line,ABEA2A,ABWA2A,1,60009610,ABEAST_ABWALN11
1111,60009610,ABEAST_ABWALN11,ABEAST_ABWALN1_1,Line,ABWALNUT2A,ABEAST2A,1,60002837,ABEA_ABWA1
1114,60081183,CROWEL_MCAD11,CROWEL_MCAD1_1,Line,,,1,60004153,CROWEL_MCADTP11
1114,60004153,CROWEL_MCADTP11,CROWEL_MCADTP1_1,Line,MCADAMST2A,CRWL2A,1,60081183,CROWEL_MCAD11
1117,60079443,AIRP_ARPT11,AIRP_ARPT1_1,Line,,,1,60112582,REDGATE_GS2H
1117,60112582,REDGATE_GS2H,REDGATE_GS2H,Transformer,REDGATE_5,RG_GSU2,G2,60079443,AIRP_ARPT11
1118,60002836,ABEA_ABRC1,ABEA_ABRC1_1,Line,ABRC2A,ABEA2A,1,60009040,ABEAST_RAINEY11
1118,60009040,ABEAST_RAINEY11,ABEAST_RAINEY1_1,Line,ABEAST2A,RAINEYCR2A,1,60002836,ABEA_ABRC1
1120,60003184,BALG_HATC1,BALG_HATC1_1,Line,HATC2A,BALG2A,1,60009094,BALLIN_HATC11
1120,60009094,BALLIN_HATC11,BALLIN_HATC1_1,Line,HATC2A,BALLINGE2A,1,60003184,BALG_HATC1
1124,60003729,CCRT_SGSA1,CCRT_SGSA1_1,Line,CCRT2A,SGSA2A,1,60010907,CHERRT_SGSA11
1124,60010907,CHERRT_SGSA11,CHERRT_SGSA1_1,Line,SGSA2A,CHERRTAP2A,1,60003729,CCRT_SGSA1
1127,60006067,MATA_ROAR1,MATA_ROAR1_1,Line,MATA2A,ROAR2A,1,60008040,MATA_ROARIN1
1127,60008040,MATA_ROARIN1,MATA_ROARIN1_1,Line,MATA2A,ROARINGS2A,1,60006067,MATA_ROAR1
1130,60006746,POND_VALT1,POND_VALT1_1,Line,VALT2A,POND2A,1,60009639,POND_VALENT11
1130,60009639,POND_VALENT11,POND_VALENT1_1,Line,VALENTIN2A,POND2A,1,60006746,POND_VALT1
1131,60003022,AMBR_BRONTE11,AMBR_BRONTE1_1,Line,BRONTE2A,AMBR2A,1,60079569,AMBR_BRNT11
1131,60079569,AMBR_BRNT11,AMBR_BRNT1_1,Line,BRNT2A,AMBR2A,1,60003022,AMBR_BRONTE11
1133,60007047,SAJS_SAWA1,SAJS_SAWA1_1,Line,SAJS2A,SAWA2A,1,60008072,JACKSO_SAWA11
1133,60008072,JACKSO_SAWA11,JACKSO_SAWA1_1,Line,SAWA2A,JACKSONS2A,1,60007047,SAJS_SAWA1
