teid,branch_id,n_snapshots,n_status_rows,n_closed,n_open,pct_closed,default_status_majority,review_flag
389,60005851,20,20,20,0,1.0,Closed,clear_majority
390,60001006,20,20,20,0,1.0,Closed,clear_majority
391,60002682,20,20,20,0,1.0,Closed,clear_majority
392,60001570,20,20,20,0,1.0,Closed,clear_majority
393,60005287,20,20,0,20,0.0,Open,clear_majority
394,60002668,20,20,20,0,1.0,Closed,clear_majority
395,60001631,20,20,20,0,1.0,Closed,clear_majority
397,60002178,20,20,20,0,1.0,Closed,clear_majority
398,60003482,20,20,20,0,1.0,Closed,clear_majority
399,60003552,20,20,20,0,1.0,Closed,clear_majority
401,60003619,20,20,20,0,1.0,Closed,clear_majority
402,60003651,20,20,20,0,1.0,Closed,clear_majority
403,60003659,20,20,20,0,1.0,Closed,clear_majority
404,60003741,20,20,20,0,1.0,Closed,clear_majority
405,60003742,20,20,20,0,1.0,Closed,clear_majority
406,60003747,20,20,20,0,1.0,Closed,clear_majority
407,60003748,20,20,20,0,1.0,Closed,clear_majority
409,60095247,18,18,18,0,1.0,Closed,clear_majority
411,60002377,20,20,20,0,1.0,Closed,clear_majority
412,60002378,20,20,20,0,1.0,Closed,clear_majority
413,60002379,20,20,20,0,1.0,Closed,clear_majority
414,60002380,20,20,20,0,1.0,Closed,clear_majority
415,60094843,19,19,19,0,1.0,Closed,clear_majority
417,60002690,20,20,20,0,1.0,Closed,clear_majority
418,60002691,20,20,20,0,1.0,Closed,clear_majority
419,60002695,20,20,20,0,1.0,Closed,clear_majority
420,60002696,20,20,20,0,1.0,Closed,clear_majority
421,60002697,20,20,20,0,1.0,Closed,clear_majority
422,60002699,20,20,20,0,1.0,Closed,clear_majority
423,60114829,0,0,0,0,,,no_pto_data
425,60002372,20,20,20,0,1.0,Closed,clear_majority
428,60007896,20,20,20,0,1.0,Closed,clear_majority
430,60006105,20,20,20,0,1.0,Closed,clear_majority
431,60009181,20,20,20,0,1.0,Closed,clear_majority
433,60011627,20,20,20,0,1.0,Closed,clear_majority
439,60003216,20,20,20,0,1.0,Closed,clear_majority
440,60007409,14,14,14,0,1.0,Closed,clear_majority
442,60001574,20,20,20,0,1.0,Closed,clear_majority
444,60005612,17,17,16,1,0.941,Closed,clear_majority
445,60003832,20,20,20,0,1.0,Closed,clear_majority
