teid,RdfId,PsseType,NodeType,CircuitIdentifier,Name,BusNumber1,BusName1,Substation1,BusNumber2,BusName2,Substation2,EquipmentName,OpEqName,branch_id,branch_name,b1,b2,ckt,DeviceType,FromName,ToName,OP_EQCODE,EQNAME,match_status,opeq_agrees,fuzzy_ratio,is_high_side
343170,b4dd0ac9-3854-47b3-a744-ffff633c2c87,Branch,ACLineSegment,1,6190__E _E 1 138kV,1953,WHITESTW1_8,WSMWS,2087,WHILL1_8,WSTHL,_E,6190__E,60008971.0,6190_E,,,1,Line,WHITEST_T8,WHILL1_8,6190__E,_E,matched,True,0.0,False
3728,b4e613f8-517e-4a94-a033-52ec24661f46,Branch,ACLineSegment,1,COR_PAN_1 1 1 69kV,37530,TNCORYELCO0,CORYELCO,37580,TNPANCAKE_0,PCAKETNP,1,COR_PAN_1,60004069.0,COR_PAN1,,,1,Line,TNPANCAKE_0,TNCORYELCO0,COR_PAN_1,1,matched,True,0.0,False
489894,b4f08e0b-7b94-432d-9fdc-61d808aec1c1,Branch,ACLineSegment,1,NCARBI_SANDCR1_1 1 1 138kV,8155,SANDCRAB4A,SANDCRAB,8190,NCARBIDE4B,NCARBIDE,1,NCARBI_SANDCR1_1,60011570.0,NCARBI_SANDCR11,,,1,Line,NCARBIDE4B,SANDCRAB4A,NCARBI_SANDCR1_1,1,matched,True,0.0,False
1996,b4f17f37-3f4d-41e6-9585-71673816dc57,Branch,ACLineSegment,1,359__A _A 1 345kV,3116,MTENTRPR_5,ENTPR,3119,NACOGDSE_5,NCDSE,_A,359__A,60001339.0,359_A,,,1,Line,MTENTRPR_5,NACOGDSE_5,359__A,_A,matched,True,0.0,False
3729,b50c63fd-985d-4cd7-a309-478a22172ffc,Branch,ACLineSegment,1,344T344_1 1 1 69kV,7315,L_SMITHV9_1Y,SMITHV,7558,L_NEWROS9_1Y,NEWROS,1,344T344_1,60001260.0,344T3441,,,1,Line,L_NEWROS9_1Y,L_SMITHV9_1Y,344T344_1,1,matched,True,0.0,False
3730,b50f86e0-7845-48b5-855c-0c40120aea60,Branch,ACLineSegment,1,GAN_GANA_1 1 1 69kV,5525,GANADOSW9,GANADSW,5526,GANADOSUB9,GANADOS,1,GAN_GANA_1,60004952.0,GAN_GANA1,,,1,Line,GANADOSW9,GANADOSUB9,GAN_GANA_1,1,matched,True,0.0,False
415837,b527968e-9b22-4912-abba-155421d9bcfa,Branch,ACLineSegment,1,COULOM_EDITHC2_1 1 1 345kV,60500,EDITHCLA7A,EDITHCLA,60722,COULOMB7A,COULOMB,1,COULOM_EDITHC2_1,60011013.0,COULOM_EDITHC21,,,1,Line,EDITHCLA7A,COULOMB7A,COULOM_EDITHC2_1,1,matched,True,0.0,False
828684,b52bf56a-5b4c-4357-8239-7bd1b6458a81,Branch,ACLineSegment,1,6190_D _D 1 138kV,1858,BASECAMP1_8,BCPSW,2086,SANSOM2_8,SANSM,_D,6190__D,60008970.0,6190_D,,,1,Line,WHITESTW1_8,WHITEST_T8,6190__D,_D,matched,True,0.0,False
751300,b53e0af6-6948-4968-b9ec-f1cd97e92143,Branch,ACLineSegment,87,6345_Q _Q 87 138kV,1100,SWPORTLA_8,SWPRT,18713,CALCITE_T8,CALPD,_Q,6345__Q,60097070.0,6345_Q,,,87,Line,SWPORTLA_8,CALCITE_T8,6345__Q,_Q,matched,True,0.0,False
437510,b547e6d0-fb26-4b27-9eea-cff0e3884883,Branch,ACLineSegment,1,_A 1 69kV,506,HILLTOP9,HIL,11587,SYLVAN2_P9,SVPOI,_A,2392__A,60010833.0,2392_A,,,1,Line,HILLTOP9,SYLVAN2_P9,2392__A,_A,matched,True,0.0,False
51184,b547f123-ce1e-4275-81ca-77efaa5e0d8c,Branch,ACLineSegment,1,HIL_ZHILL_1 1 1 138kV,501,HILLTOP8,HIL,516,ZIONHILL,ZIONHILL,1,HIL_ZHILL_1,60005324.0,HIL_ZHILL1,,,1,Line,ZIONHILL,HILLTOP8,HIL_ZHILL_1,1,matched,True,0.0,False
3726,b54a734d-23ab-427f-b754-c7c5fdbfe72f,Branch,ACLineSegment,03,EXSUV_03_A A 03 138kV,48102,EXPLOR03TP_8,EXS,48385,UVALDE03TP_8,UV,A,EXSUV_03_A,60004656.0,EXSUV_03A,,,03,Line,EXPLOR03TP_8,UVALDE03TP_8,EXSUV_03_A,A,matched,True,0.0,False
400061,b5574429-0e97-4f38-9b65-d66846abb2fc,Branch,ACLineSegment,1,138_BRL_OB2_1 1 1 138kV,38061,TNBRDRAMI_1,TNBRDROC,38065,TNBRDRFLD_1,TNBRDRAW,1,138_BRL_OB2_1,60009808.0,138_BRL_OB21,,,1,Line,TNBRDRFLD_1,TNBRDRAMI_1,138_BRL_OB2_1,1,matched,True,0.0,False
398665,b55922d5-8f91-4a86-ae33-b271aeebaa24,Branch,ACLineSegment,1,DRESSY_SHNOAK_1 1 1 69kV,6350,DRESSY2A,DRESSY,9482,SHINOAK_9,SHINOAK,1,DRESSY_SHNOAK_1,60009613.0,DRESSY_SHNOAK1,,,1,Line,SHINOAK_9,DRESSY2A,DRESSY_SHNOAK_1,1,matched,True,0.0,False
438080,b55ff8c0-32ad-48f1-9507-a86bf316676f,Branch,ACLineSegment,1,_B 1 138kV,11338,LENORAH_8,LNPOD,23880,FLATLAND_8,FLAND,_B,15050__B,60011288.0,15050_B,,,1,Line,LENORAH_8,REDSALT_8,15050__B,_B,matched,True,0.0,False
555042,b56baa3c-1152-45fb-9bb1-fcabfd2869aa,Branch,ACLineSegment,3,230_B _B 3 345kV,3384,STJOHNS_5,SJNSW,3399,RAT_SNAKE_5,RRDSW,_B,230__B,60012988.0,230_B,,,1,Line,STJOHNS_5,RAT_SNAKE_5,230__B,_B,matched,True,0.0,False
1007,b56fca72-9afb-4dc0-8b4d-671ffc877e8e,Branch,ACLineSegment,1,2280__C _C 1 69kV,3533,FILE_SIN1_T9,MYPTP,3534,GRANDVGF1_9,GVGLF,_C,2280__C,60000894.0,2280_C,,,1,Line,FILE_SIN1_T9,GRANDVGF1_9,2280__C,_C,matched,True,0.0,False
397265,b57cea16-fb82-4fb8-a002-d3688c1d534e,Branch,ACLineSegment,1,1 1 138kV,604,OKPNTSS2,OKPNTSS,33662,NAVO2,NAVO,1,NAVO_OKPNTS2_1,60009426.0,NAVO_OKPNTS21,,,1,Line,NAVO2,OKPNTSS2,NAVO_OKPNTS2_1,1,matched,True,0.0,False
