isomarketid,branchID,branchName,ptoIDSource,InsertDate,b1,b2,b3,ckt,OP_EQCODE,LNNAME,EQNAME,DeviceType,FromName,ToName,b3Text,branchStationID,branchDeviceTypeId,teid,collapseId,legacyBranchId,ptoBranchID,fromNum,toNum,pto_ckt,pto_deviceType,identity_key,has_pto_match,dup_type
6,60048785,MCELROY_C1_69,,2023-11-21 12:26:39.067,,,,,MCELROY_C1_69,,C1,shunt,MCELROY2A,,MCELROY,,,281983.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60084361,MCEL_C1_69,,2024-01-25 09:01:19.767,,,,,MCEL_C1_69,,C1,shunt,,,MCEL,,,281983.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60024045,CLYDE_CAP1_69,,2023-11-21 12:26:39.067,,,,,CLYDE_CAP1_69,,CAP1,shunt,CLYDE2A,,CLYDE,,,282013.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60080885,CLYD_CAP1_69,,2024-01-25 09:01:19.767,,,,,CLYD_CAP1_69,,CAP1,shunt,,,CLYD,,,282013.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60076652,X2_CAPBNK2_138,,2023-11-21 12:26:39.067,,,,,X2_CAPBNK2_138,,CAPBNK2,shunt,LYTLE,,X2,,,282021.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60088815,X2_CAPBNK4_138,,2024-01-25 09:01:19.767,,,,,X2_CAPBNK4_138,,CAPBNK4,shunt,LYTLE,,X2,,,282021.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60066458,SOUTHABI_C12_138,,2023-11-21 12:26:39.067,,,,,SOUTHABI_C12_138,,C12,shunt,SOUTHABI4A,,SOUTHABI,,,282041.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60079341,ABSO_C12_138,,2024-01-25 09:01:19.767,,,,,ABSO_C12_138,,C12,shunt,ABSO4A,,ABSO,,,282041.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60047215,LYLEWO_LYLEWO_C1_138,,2023-11-21 12:26:39.067,,,,,LYLEWO_LYLEWO_C1_138,,LYLEWO_C1,shunt,L_LYLEWO8_1Y,,LYLEWO,,,282062.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60081468,DEANVI_DEANV_C1_138,,2024-01-25 09:01:19.767,,,,,DEANVI_DEANV_C1_138,,DEANV_C1,shunt,L_DEANVI8_1Y,,DEANVI,,,282062.0,,,,,,,,-1|-1|,False,insufficient_pto_data
